County,Population_density
Dekalb County,2608.20
Cobb County,2057.70
Gwinnett County,1928.00
Clayton County,1830.70
Fulton County,1809.90
Clarke County,988.8
Muscogee County,897
Forsyth County,765.9
Douglas County,671.7
Rockdale County,653
Henry County,640.2
Richmond County,612.4
Bibb County,607.9
Fayette County,541.5
Cherokee County,510.9
Paulding County,463.1
Chatham County,435.4
Barrow County,435
Hall County,431.7
Columbia County,430.3
Catoosa County,399.8
Houston County,383.3
Newton County,363.6
Whitfield County,354.3
Spalding County,320.4
Coweta County,294.8
Dougherty County,280.6
Walton County,258.7
Carroll County,222
Lowndes County,220.4
Bartow County,214.4
Floyd County,185.4
Oconee County,181.2
Peach County,180.7
Jackson County,177.6
Baldwin County,171.5
Gordon County,155.5
Habersham County,155.3
Troup County,153.3
Walker County,153.1
Tift County,151.5
Stephens County,139.7
Glynn County,138.3
Polk County,132.2
Pickens County,127
Butts County,124.8
White County,113.9
Murray County,113.7
Effingham County,111.1
Lumpkin County,108.1
Liberty County,107
Dawson County,104.9
Bulloch County,104.5
Haralson County,100.9
Hart County,98.9
Madison County,98.5
Lamar County,97.5
Dade County,94.9
Crisp County,83.3
Franklin County,82.8
Colquitt County,82.6
Upson County,81.5
Chattooga County,81.3
Pike County,81.2
Thomas County,81
Mcduffie County,80.9
Lee County,79.6
Banks County,78.3
Toombs County,73.5
Cook County,73.2
Jones County,72.8
Coffee County,71.3
Bryan County,70.8
Ben Hill County,69.1
Harris County,68.8
Monroe County,67.3
Gilmer County,66
Union County,65.5
Camden County,65.5
Sumter County,64.6
Towns County,62
Fannin County,60.3
Bleckley County,58.9
Putnam County,58.8
Laurens County,58.7
Evans County,58.2
Pierce County,54.9
Grady County,54.8
Elbert County,52.6
Tattnall County,51.9
Lanier County,51.8
Morgan County,50.4
Chattahoochee County,47.2
Pulaski County,46.5
Wayne County,46.5
Mitchell County,45.1
Jeff Davis County,44.8
Candler County,44.4
Decatur County,44.1
Rabun County,43.2
Dodge County,42.5
Meriwether County,42.4
Berrien County,41.7
Brantley County,41.3
Greene County,39.9
Ware County,39.6
Long County,39.5
Bacon County,39.2
Heard County,38.8
Crawford County,38.4
Worth County,37.2
Telfair County,37.1
Montgomery County,36.8
Jasper County,36.5
Dooly County,36.4
Appling County,36
Macon County,35.1
Seminole County,34.3
Treutlen County,33.5
Oglethorpe County,33.2
Emanuel County,32.9
Johnson County,32.1
Brooks County,31.7
Jefferson County,31.3
Washington County,30.5
Lincoln County,30.3
Schley County,30.1
Turner County,29.3
Burke County,27.7
Terrell County,27.6
Wheeler County,26.4
Irwin County,26.1
Jenkins County,24.9
Mcintosh County,24.7
Atkinson County,24.1
Marion County,23.8
Twiggs County,23.7
Wilcox County,23.7
Calhoun County,23.1
Taylor County,22.4
Screven County,21.8
Glascock County,21.4
Wilkes County,21.4
Miller County,21.2
Wilkinson County,20.9
Early County,20.6
Warren County,19.6
Hancock County,18.9
Randolph County,17.2
Charlton County,16.7
Talbot County,16.7
Quitman County,15
Clay County,14.3
Webster County,13.1
Stewart County,12.7
Baker County,9.6
Echols County,9.6
Taliaferro County,8.7
Clinch County,8.2
